Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,Staff2,Comstaff1,Comstaff2,TillCode,UNIKEY
33458,05/02/2025,Blowdry,COLG01,BECKY,1,60,3,4.8,,100,0,,
33461,05/02/2025,Type 2 Haircut,CHOK04,JJ,1,90,4.5,7.2,,100,0,,
33462,05/02/2025,Type 2 Haircut,ROSD01,JJ,1,125,6.25,10,,100,0,,
33463,05/02/2025,Type 1 Haircut,REND02,BECKY,1,65,3.25,5.2,,100,0,,
33464,05/02/2025,Blowdry,BARS01,ANTONELLA,1,60,3,4.8,,100,0,,
33465,05/02/2025,misc retail,WALK_IN,JJ,1,28.8,1.44,2.304,,0,0,,
33466,05/02/2025,Root Touch-up,DUNA01,OLGA,1,90,4.5,7.2,,100,0,,
33466,05/02/2025,Blowdry,DUNA01,MAYUMI,1,55,2.75,4.4,,100,0,,
33467,05/02/2025,Type 1 Haircut,TSAR01,JJ,1,75,3.75,6,,100,0,,
33469,05/02/2025,Root Touch-up,MILL03,ANTONELLA,1,90,4.5,7.2,,100,0,,
33469,05/02/2025,Milbon Treatment Add-on,MILL03,ANTONELLA,1,65,3.25,5.2,,100,0,,
33469,05/02/2025,olaplex6 bond smoother,MILL03,ANTONELLA,1,32.8,1.64,2.624,,0,0,,
33470,05/02/2025,Type 2 Haircut,TUIM01,BECKY,1,100,5,8,,100,0,,
33471,05/02/2025,Type 1 Haircut,LEHJ01,JJ,1,70,3.5,5.6,,100,0,,
33472,05/02/2025,Root Touch-up,CHIM04,ANTONELLA,1,90,4.5,7.2,,100,0,,
33472,05/02/2025,Type 2 Haircut,CHIM04,ANTONELLA,1,100,5,8,,100,0,,
33473,05/02/2025,Milbon Treatment Add-on,VELJ01,OLGA,1,65,3.25,5.2,,100,0,,
33473,05/02/2025,Blowdry,VELJ01,OLGA,1,55,2.75,4.4,,100,0,,
33473,05/02/2025,misc retail,VELJ01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33474,05/02/2025,Type 1 Haircut,CAPJ01,ANTONELLA,1,80,4,6.4,,100,0,,
33475,05/02/2025,Blowdry,FISM01,OLGA,1,55,2.75,4.4,,100,0,,
33475,05/02/2025,Root Touch-up,FISM01,JOANNE,1,90,4.5,7.2,,100,0,,
33476,05/02/2025,Type 2 Haircut,BECS01,BECKY,1,100,5,8,,100,0,,
33477,05/02/2025,Type 2 Haircut,ROBT01,JJ,1,125,6.25,10,,100,0,,
33477,05/02/2025,Root Touch-up,ROBT01,JOANNE,1,90,4.5,7.2,,100,0,,
33478,05/02/2025,Type 2 Haircut,PALC02,JJ,1,125,6.25,10,,100,0,,
33479,05/02/2025,Type 1 Haircut,FERJ01,ANTONELLA,1,80,4,6.4,,100,0,,
33480,05/02/2025,Type 2 Haircut,HENS03,ANTONELLA,1,100,5,8,,100,0,,
33480,05/02/2025,misc retail,HENS03,ANTONELLA,2,71.5,3.575,5.72,,0,0,,
33481,05/02/2025,Type 2 Haircut,REIL01,JJ,1,125,6.25,10,,100,0,,
33482,05/02/2025,Type 2 Haircut,BARS07,MAYUMI,1,90,4.5,7.2,,100,0,,
33483,05/02/2025,Type 1 Haircut,HOLP01,JJ,1,55,2.75,4.4,,100,0,,
33483,05/02/2025,Blowdry,HOLA02,JJ,1,55,2.75,4.4,,100,0,,
33484,05/02/2025,Blowdry,ALI|01,BECKY,1,60,3,4.8,,100,0,,
33485,05/02/2025,Type 1 Haircut,MCCB01,BECKY,1,65,3.25,5.2,,100,0,,
33486,05/02/2025,Blowdry,GRIF01,JJ,1,70,3.5,5.6,,100,0,,
33487,05/02/2025,Blowdry,ALIP01,ANTONELLA,1,60,3,4.8,,100,0,,
33488,05/02/2025,Toner Add-on,MARL06,OLGA,1,50,2.5,4,,100,0,,
33488,05/02/2025,Metal Detox,MARL06,OLGA,1,35,1.75,2.8,,100,0,,
33488,05/02/2025,Additional colour,MARL06,OLGA,1,25,1.25,2,,100,0,,
33488,05/02/2025,full head highlights,MARL06,OLGA,1,170,8.5,13.6,,100,0,,
33488,05/02/2025,misc retail,MARL06,OLGA,1,76.8,3.84,6.144,,0,0,,
33488,05/02/2025,Consultation,MARL06,HOUSE,1,-280,-14,-22.4,,100,0,,
33488,05/02/2025,misc retail,MARL06,HOUSE,1,-76.8,-3.84,-6.144,,0,0,,
33489,05/02/2025,Type 2 Haircut,MARM05,MAYUMI,1,90,4.5,7.2,,100,0,,
33490,05/02/2025,Blowdry,BROF01,BECKY,1,60,3,4.8,,100,0,,
33490,05/02/2025,Accent High Lights(under 15foi,BROF01,JOANNE,1,100,5,8,,100,0,,
33490,05/02/2025,Root Touch-up,BROF01,JOANNE,1,90,4.5,7.2,,100,0,,
33490,05/02/2025,Additional colour,BROF01,JOANNE,1,11.05,0.5525,0.884,,100,0,,
33492,05/03/2025,Type 2 Haircut,LEED02,ASAMI,1,90,4.5,7.2,,100,0,,
33493,05/03/2025,Type 2 Haircut,NICC01,MAYUMI,1,90,4.5,7.2,,100,0,,
33494,05/03/2025,Type 2 Haircut,ELLP01,ANTONELLA,1,100,5,8,,100,0,,
33495,05/03/2025,misc retail,WALK_IN,ASAMI,1,26.8,1.34,2.144,,0,0,,
33496,05/03/2025,Blow dry bundle 5+1,WONM02,JJ,1,325,16.25,26,,100,0,,
33497,05/03/2025,Color full color,BENS02,JOANNE,1,140,7,11.2,,100,0,,
33497,05/03/2025,misc retail,BENS02,JOANNE,1,39.2,1.96,3.136,,0,0,,
33497,05/03/2025,misc retail,BENS02,JOANNE,1,33.6,1.68,2.688,,0,0,,
33497,05/03/2025,misc retail,BENS02,JOANNE,1,30.4,1.52,2.432,,0,0,,
33498,05/03/2025,Blowdry,RIHM01,MAYUMI,1,55,2.75,4.4,,100,0,,
33498,05/03/2025,Root Touch-up,RIHM01,JOANNE,1,90,4.5,7.2,,100,0,,
33498,05/03/2025,Additional colour,RIHM01,JOANNE,1,25,1.25,2,,100,0,,
33499,05/03/2025,Type 1 Haircut,WONS01,ASAMI,1,40,2,3.2,,100,0,,
33500,05/03/2025,Type 2 Haircut,STEC02,JJ,1,125,6.25,10,,100,0,,
33502,05/03/2025,Blowdry,KUZD01,OLGA,1,55,2.75,4.4,,100,0,,
33502,05/03/2025,Milbon Treatment Add-on,KUZD01,OLGA,1,65,3.25,5.2,,100,0,,
33502,05/03/2025,Color full color,KUZD01,OLGA,1,140,7,11.2,,100,0,,
33502,05/03/2025,misc retail,KUZD01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33505,05/03/2025,Root Touch-up,WHID01,ANTONELLA,1,90,4.5,7.2,,100,0,,
33505,05/03/2025,Type 2 Haircut,WHID01,ANTONELLA,1,100,5,8,,100,0,,
33506,05/03/2025,Type 1 Haircut,LIUA01,ASAMI,1,50,2.5,4,,100,0,,
33507,05/03/2025,Type 2 Haircut,GAGC01,JJ,1,125,6.25,10,,100,0,,
33507,05/03/2025,misc retail,GAGC01,JJ,1,39.2,1.96,3.136,,0,0,,
33508,05/03/2025,Blowdry,MCGC03,MAYUMI,1,55,2.75,4.4,,100,0,,
33509,05/03/2025,Type 2 Haircut,BUSA01,ANTONELLA,1,100,5,8,,100,0,,
33509,05/03/2025,Consultation,BUSA01,HOUSE,1,-100,-5,-8,,100,0,,
33510,05/03/2025,Blowdry,GOUE02,ASAMI,1,55,2.75,4.4,,100,0,,
33510,05/03/2025,Toner Add-on,GOUE02,SARAH,1,50,2.5,4,,100,0,,
33510,05/03/2025,Balayage Full,GOUE02,SARAH,1,240,12,19.2,,100,0,,
33511,05/03/2025,Type 2 Haircut,LANN01,RYAN,1,65,3.25,5.2,,100,0,,
33511,05/03/2025,Consultation,LANN01,HOUSE,1,-65,-3.25,-5.2,,100,0,,
33512,05/03/2025,Type 1 Haircut,COHA01,ANTONELLA,1,45,2.25,3.6,,100,0,,
33512,05/03/2025,misc retail,COHA01,ANTONELLA,1,56,2.8,4.48,,0,0,,
33514,05/03/2025,Partial Head highlights,GORS01,SARAH,1,130,6.5,10.4,,100,0,,
33514,05/03/2025,Toner Add-on,GORS01,SARAH,1,50,2.5,4,,100,0,,
33515,05/03/2025,Blowdry,WOOJ01,JJ,1,70,3.5,5.6,,100,0,,
33516,05/03/2025,Type 1 Haircut,LIUJ01,ASAMI,1,40,2,3.2,,100,0,,
33517,05/03/2025,Type 2 Haircut,NIKM02,MAYUMI,1,90,4.5,7.2,,100,0,,
33518,05/03/2025,Type 2 Haircut,MCEM01,ANTONELLA,1,100,5,8,,100,0,,
33519,05/02/2025,Partial Head highlights,VINH01,JOANNE,1,150,7.5,12,,100,0,,
33519,05/02/2025,misc retail,VINH01,JOANNE,1,44.3,2.215,3.544,,0,0,,
33520,05/03/2025,Toner Add-on,VANJ04,OLGA,1,50,2.5,4,,100,0,,
33520,05/03/2025,Additional colour,VANJ04,OLGA,1,25,1.25,2,,100,0,,
33520,05/03/2025,Metal Detox,VANJ04,OLGA,1,35,1.75,2.8,,100,0,,
33520,05/03/2025,Balayage Full,VANJ04,OLGA,1,240,12,19.2,,100,0,,
33521,05/03/2025,Root Touch-up,BHAA04,MAYUMI,1,90,4.5,7.2,,100,0,,
33521,05/03/2025,Type 2 Haircut,BHAA04,MAYUMI,1,90,4.5,7.2,,100,0,,
33521,05/03/2025,Consultation,BHAA04,HOUSE,1,-180,-9,-14.4,,100,0,,
33522,05/03/2025,Type 2 Haircut,KIMY03,JJ,1,125,6.25,10,,100,0,,
33523,05/03/2025,Toner Add-on,GLOC01,SARAH,1,50,2.5,4,,100,0,,
33523,05/03/2025,Blowdry,GLOC01,MAYUMI,1,55,2.75,4.4,,100,0,,
33523,05/03/2025,Olaplex,GLOC01,SARAH,1,35,1.75,2.8,,100,0,,
33523,05/03/2025,full head highlights,GLOC01,SARAH,1,170,8.5,13.6,,100,0,,
33524,05/03/2025,Milbon Treatment Add-on,TALB01,OLGA,1,65,3.25,5.2,,100,0,,
33524,05/03/2025,Type 2 Haircut,TALB01,OLGA,1,90,4.5,7.2,,100,0,,
33524,05/03/2025,misc retail,TALB01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33525,05/03/2025,Type 2 Haircut,SAKR02,ASAMI,1,80,4,6.4,,100,0,,
33525,05/03/2025,perm,SAKR02,ASAMI,1,160,8,12.8,,100,0,,
33525,05/03/2025,Milbon Treatment Add-on,SAKR02,ASAMI,1,65,3.25,5.2,,100,0,,
33526,05/01/2025,Root Touch-up,FATT01,SARAH,1,90,4.5,7.2,,100,0,,
33526,05/01/2025,Type 2 Haircut,FATT01,JJ,1,125,6.25,10,,100,0,,
33527,05/01/2025,Type 2 Haircut,ALOK01,MAYUMI,1,90,4.5,7.2,,100,0,,
33528,05/01/2025,Type 2 Haircut,SHEM02,JJ,1,125,6.25,10,,100,0,,
33529,05/01/2025,Type 1 Haircut,WARN03,MAYUMI,1,55,2.75,4.4,,100,0,,
33530,05/01/2025,Type 2 Haircut,NASA01,ASAMI,1,90,4.5,7.2,,100,0,,
33531,05/01/2025,Type 1 Haircut,MELE01,BECKY,1,65,3.25,5.2,,100,0,,
33532,05/01/2025,Type 1 Haircut,ZHUH01,MAYUMI,1,55,2.75,4.4,,100,0,,
33533,05/01/2025,Type 2 Haircut,JARM01,JJ,1,125,6.25,10,,100,0,,
33534,05/01/2025,Root Touch-up,GANJ01,SARAH,1,90,4.5,7.2,,100,0,,
